iter	Logloss
0	0.680634395
1	0.6698388243
2	0.6603517802
3	0.6483701547
4	0.6389494302
5	0.6282109315
6	0.6180977242
7	0.6053706762
8	0.5959487837
9	0.5815260667
10	0.5716428374
11	0.561010244
12	0.5497772904
13	0.5415116622
14	0.5325380416
15	0.5272591198
16	0.5211594253
17	0.5126728492
18	0.5047486032
19	0.4961958342
20	0.4889671416
21	0.4810943878
22	0.4732588983
23	0.4663986318
24	0.4602548737
25	0.4531712702
26	0.4468228066
27	0.441970894
28	0.4354874382
29	0.4299568085
30	0.424551362
31	0.4182832354
32	0.4131080255
33	0.4073292388
34	0.4015916558
35	0.3934125491
36	0.3880947109
37	0.3827732865
38	0.3783988236
39	0.3733829118
40	0.3692955033
41	0.3634042278
42	0.359475415
43	0.3550017562
44	0.3495372311
45	0.3459203545
46	0.3419771162
47	0.3369438982
48	0.3325678358
49	0.3278533401
50	0.3230628725
51	0.3191989748
52	0.3150284551
53	0.3111505792
54	0.3070198409
55	0.3034295994
56	0.3005355568
57	0.2968366739
58	0.2939614066
59	0.2906800266
60	0.2877268059
61	0.2847403877
62	0.2799056751
63	0.2779922149
64	0.2755498432
65	0.2731233565
66	0.2710179009
67	0.2683680249
68	0.2659355392
69	0.2628225218
70	0.2605834683
71	0.2574602871
72	0.2545523817
73	0.2509191176
74	0.2482570533
75	0.2462878141
76	0.2440455748
77	0.2420541687
78	0.2404599382
79	0.2382782179
80	0.2364584881
81	0.2346485211
82	0.2330451769
83	0.2307472554
84	0.2281363233
85	0.2262074216
86	0.2237183236
87	0.2216974131
88	0.2196576113
89	0.2174444847
90	0.2154353515
91	0.2131900046
92	0.2116250175
93	0.2097976519
94	0.207753153
95	0.2057823377
96	0.204353472
97	0.202436137
98	0.1998156699
99	0.1979765281
100	0.1965358965
101	0.194320056
102	0.1924212909
103	0.1904850316
104	0.1889283734
105	0.1876651288
106	0.186512914
107	0.1845260637
108	0.1831686884
109	0.1810959299
110	0.1797709184
111	0.1788951819
112	0.1776477798
113	0.1763068202
114	0.1742776384
115	0.1723116673
116	0.1710454578
117	0.1699689652
118	0.1688399633
119	0.1668696272
120	0.1651217127
121	0.1643641507
122	0.1631115933
123	0.1619530854
124	0.1595622513
125	0.1581047002
126	0.1564869572
127	0.1549698343
128	0.1531518298
129	0.1522628962
130	0.1510344573
131	0.1503068177
132	0.1488343413
133	0.1475554604
134	0.146284387
135	0.1452874258
136	0.1441195249
137	0.1429506563
138	0.1412056187
139	0.1400860791
140	0.1389039114
141	0.1376948633
142	0.1368154986
143	0.1359296531
144	0.1347710481
145	0.1339058261
146	0.1322562966
147	0.1311366285
148	0.1301702999
149	0.1292494438
150	0.1284708621
151	0.1268112575
152	0.1260243533
153	0.1248679529
154	0.1238127645
155	0.1229627886
156	0.1221872523
157	0.1212127245
158	0.1200831231
159	0.119164481
160	0.1182038784
161	0.1172657397
162	0.1166236713
163	0.1156117626
164	0.1147662385
165	0.1137855399
166	0.1130486476
167	0.1123864367
168	0.1118202054
169	0.1110745482
170	0.1101199722
171	0.1094518693
172	0.1087377206
173	0.1079623426
174	0.1069193818
175	0.1059179797
176	0.1052849775
177	0.1039277392
178	0.1031976976
179	0.1025896986
180	0.1016552831
181	0.1010120572
182	0.100218057
183	0.0992508626
184	0.0988757721
185	0.09805708698
186	0.09768050296
187	0.09711022679
188	0.09645163726
189	0.09589560897
190	0.09550452194
191	0.09470423303
192	0.09425396258
193	0.09369290409
194	0.09310124229
195	0.0927040253
196	0.09213389679
197	0.09166871022
198	0.09115036519
199	0.09035728358
200	0.08964861995
201	0.08893484476
202	0.08787648937
203	0.08732661444
204	0.08677441073
205	0.0860343105
206	0.08557819479
207	0.08501801485
208	0.08443983648
209	0.08368348584
210	0.08326072997
211	0.08263790256
212	0.08232553721
213	0.0818226414
214	0.08153656149
215	0.08102575112
216	0.08055020116
217	0.08007874782
218	0.07945314985
219	0.07900961419
220	0.07833476328
221	0.07789655568
222	0.07746889681
223	0.07704339324
224	0.07649297783
225	0.07583446017
226	0.07512162632
227	0.07460468734
228	0.07431660429
229	0.07403719879
230	0.07334495761
231	0.07301110546
232	0.07256684001
233	0.07200371987
234	0.07157727362
235	0.07112054939
236	0.07078315307
237	0.07041560022
238	0.06963100716
239	0.06912864056
240	0.06871374807
241	0.06832279722
242	0.0677464713
243	0.06730788753
244	0.06705373964
245	0.06671892647
246	0.06636578263
247	0.06600149937
248	0.06560301817
249	0.06521375888
250	0.06482175795
251	0.06437570274
252	0.06416264143
253	0.06388789576
254	0.0632426559
255	0.06293256252
256	0.06255352084
257	0.06226213493
258	0.06177113423
259	0.06151031662
260	0.06115359131
261	0.06094230059
262	0.06033685976
263	0.06006427369
264	0.05969759027
265	0.0592239882
266	0.05897102955
267	0.05859729348
268	0.05830075649
269	0.05803903891
270	0.05776918083
271	0.05749567434
272	0.05718880904
273	0.05694291457
274	0.05663980947
275	0.05603778504
276	0.05565172517
277	0.05549435747
278	0.05524723337
279	0.05484735666
280	0.05456971572
281	0.05404582293
282	0.05373760481
283	0.05329182185
284	0.0529918308
285	0.05264318654
286	0.05248282025
287	0.0521969087
288	0.05192459241
289	0.0516058365
290	0.05132437164
291	0.05107654153
292	0.05078166267
293	0.05046201573
294	0.05023281272
295	0.04996428273
296	0.04983255891
297	0.04946452849
298	0.04912502705
299	0.04894463399
300	0.04868194336
301	0.04834393211
302	0.04808315918
303	0.04786085621
304	0.04756848161
305	0.04738257629
306	0.04710057295
307	0.04682633631
308	0.0466651949
309	0.04638237196
310	0.0461059223
311	0.0458807275
312	0.04566298428
313	0.04531040868
314	0.04514326587
315	0.04489507779
316	0.04450938422
317	0.04433585359
318	0.04419274592
319	0.04396869873
320	0.04379756431
321	0.04350153987
322	0.04323517958
323	0.04305172608
324	0.04283506886
325	0.04266805079
326	0.0424386986
327	0.04212598719
328	0.04190822816
329	0.0417203053
330	0.04157052857
331	0.04145436887
332	0.04134723591
333	0.04119280507
334	0.04098934818
335	0.0408326578
336	0.04060146301
337	0.04040509382
338	0.04020599398
339	0.03987202708
340	0.03958331217
